iter	Logloss
0	0.5921493894
1	0.5123795639
2	0.4604159821
3	0.4218171114
4	0.3940580501
5	0.3748248887
6	0.3605726837
7	0.3498494503
8	0.3411140318
9	0.3357094025
10	0.331153767
11	0.3254973582
12	0.3221385852
13	0.3190156207
14	0.3160717811
15	0.313601343
16	0.3117638568
17	0.309902084
18	0.3083423166
19	0.3073199645
20	0.3050005146
21	0.3035006606
22	0.3016329617
23	0.3007280278
24	0.3000886201
25	0.2993343761
26	0.2982304742
27	0.2973297632
28	0.2962748862
29	0.2955153633
30	0.2939542644
31	0.2930360115
32	0.2922639581
33	0.2911109603
34	0.2903939009
35	0.2898829147
36	0.2894906595
37	0.2889432705
38	0.288230682
39	0.287926245
40	0.2875098444
41	0.286998203
42	0.2863005622
43	0.2859919516
44	0.2856249284
45	0.2851372117
46	0.2847693525
47	0.2836984835
48	0.2832108353
49	0.282814801
50	0.2826371788
51	0.282436033
52	0.2820496985
53	0.2817571634
54	0.2814409705
55	0.2811473837
56	0.2807249592
57	0.2805877703
58	0.2803317706
59	0.2798535465
60	0.2796309287
61	0.2794609474
62	0.2792400869
63	0.2789543868
64	0.2785907327
65	0.2783429918
66	0.2781981379
67	0.2777500413
68	0.2776099215
69	0.2772864126
70	0.2770502066
71	0.2768304001
72	0.2766625929
73	0.2764799295
74	0.2762790169
75	0.2756593019
76	0.2753164018
77	0.2750747532
78	0.2747507584
79	0.2745475071
80	0.2742927906
81	0.2740233012
82	0.2737061021
83	0.2723447997
84	0.2720443401
85	0.2718401266
86	0.2716498946
87	0.2714767429
88	0.2711239297
89	0.2710372982
90	0.2703994018
91	0.270183784
92	0.2695803379
93	0.2693604957
94	0.2692152546
95	0.2689045755
96	0.2688166616
97	0.2684817619
98	0.2683842188
99	0.2683614176
100	0.2678212015
101	0.267580391
102	0.2670634748
103	0.2669143306
104	0.2666562432
105	0.2665108374
106	0.2662374973
107	0.2661236942
108	0.2659979705
109	0.2657501464
110	0.2656007329
111	0.2654573445
112	0.2651432941
113	0.2650084191
114	0.2644287156
115	0.2642623783
116	0.2640908243
117	0.2638546978
118	0.2635678797
119	0.2633190792
120	0.2628233646
121	0.2626963956
122	0.2626652726
123	0.2626089879
124	0.2621409137
125	0.261825057
126	0.2613623793
127	0.2611913682
128	0.2610349179
129	0.2609284985
130	0.2607650181
131	0.2607340932
132	0.260704235
133	0.2605379966
134	0.2604898712
135	0.2603443824
136	0.2601206809
137	0.259890658
138	0.259833539
139	0.2595686248
140	0.259472545
141	0.2593439077
142	0.2593067847
143	0.2591928396
144	0.2589452689
145	0.2588035626
146	0.2584963872
147	0.2584327469
148	0.2582204635
149	0.2580118934
150	0.2579865298
151	0.2578809597
152	0.2577149876
153	0.2574965585
154	0.2573336668
155	0.2568807109
156	0.2567497661
157	0.2566135538
158	0.2564502169
159	0.256295138
160	0.2561961276
161	0.2560819383
162	0.2560390893
163	0.2559229359
164	0.2557900429
165	0.2555982509
166	0.255488216
167	0.2551714484
168	0.2550283843
169	0.2548642823
170	0.2547618294
171	0.2546720926
172	0.2544750225
173	0.2544095414
174	0.2542745815
175	0.2541676369
176	0.2540697915
177	0.2538568592
178	0.2538474848
179	0.2537256309
180	0.2536804275
181	0.2535898039
182	0.2534526772
183	0.2533588807
184	0.2532153154
185	0.2531339276
186	0.2529973992
187	0.2528597694
188	0.2526227719
189	0.252557863
190	0.2524581371
191	0.252326231
192	0.2522530905
193	0.2520957498
194	0.2520045875
195	0.2518436219
196	0.251729596
197	0.2516493687
198	0.2515968336
199	0.2515662224
200	0.2514972088
201	0.2513882708
202	0.2512467684
203	0.2511759265
204	0.2510778472
205	0.2510423528
206	0.2510179627
207	0.2509498325
208	0.2509458922
209	0.2508055186
210	0.2505766265
211	0.2504979422
212	0.2502398917
213	0.2502143036
214	0.2500113927
215	0.2498382845
216	0.2497235221
217	0.2496636582
218	0.2495461607
219	0.2493379818
220	0.249190298
221	0.2491173176
222	0.2490050438
223	0.2489985102
224	0.2489409085
225	0.2489409046
226	0.2489248325
227	0.2488564215
228	0.2485449738
229	0.2484730218
230	0.2483990238
231	0.2482520549
232	0.2480711017
233	0.2480657073
234	0.2479231378
235	0.247764804
236	0.2475573513
237	0.2474450661
238	0.2474116146
239	0.2472078127
240	0.2470883278
241	0.2469551237
242	0.2468038012
243	0.2467077002
244	0.2466077575
245	0.2465310218
246	0.246485212
247	0.2464183496
248	0.2462356214
249	0.2461848899
250	0.2460762005
251	0.2460233823
252	0.2459793249
253	0.2459189687
254	0.2458325417
255	0.2458089367
256	0.2457512462
257	0.2456949832
258	0.2455935788
259	0.2455824155
260	0.2454413616
261	0.2454034436
262	0.2450755933
263	0.2448984622
264	0.2447396611
265	0.2446379405
266	0.2445194751
267	0.2444004472
268	0.2441639381
269	0.2440658386
270	0.2439575485
271	0.2438036039
272	0.2437580917
273	0.2436348515
274	0.2435698971
275	0.2434414777
276	0.243402384
277	0.2433770767
278	0.243360067
279	0.2431868485
280	0.2431283577
281	0.2430654598
282	0.2430333392
283	0.2429187374
284	0.2427704352
285	0.2425221992
286	0.2423492608
287	0.2422032914
288	0.2421695387
289	0.2421599666
290	0.2420686162
291	0.2420274374
292	0.2419291597
293	0.2418965559
294	0.2417976318
295	0.2417315572
296	0.241659155
297	0.2414957909
298	0.241414334
299	0.2413034386
300	0.2411077844
301	0.2409963106
302	0.2409263492
303	0.2407448898
304	0.2407253991
305	0.2406850004
306	0.2405304735
307	0.2403752444
308	0.2402010475
309	0.2400948415
310	0.2400569577
311	0.2399530842
312	0.2398328478
313	0.239689266
314	0.2395850252
315	0.2395269806
316	0.2394968036
317	0.2393775081
318	0.239297792
319	0.2392812571
320	0.2391976493
321	0.2391840775
322	0.2390768829
323	0.2389731618
324	0.2389100449
325	0.2388691465
326	0.2388287688
327	0.2386857874
