iter	Passed	Remaining
400	17591	26277
401	17629	26225
402	17680	26191
403	17728	26154
404	17776	26115
405	17823	26077
406	17863	26027
407	17911	25988
408	17952	25941
409	17998	25899
410	18042	25857
411	18088	25815
412	18130	25768
413	18177	25729
414	18228	25695
415	18276	25657
416	18314	25604
417	18360	25564
418	18405	25522
419	18449	25477
420	18496	25437
421	18534	25385
422	18577	25341
423	18623	25299
424	18668	25257
425	18699	25195
426	18752	25163
427	18799	25124
428	18847	25085
429	18894	25045
430	18938	25001
431	18983	24959
432	19032	24922
433	19081	24885
434	19120	24834
435	19159	24783
436	19210	24749
437	19254	24706
438	19303	24668
439	19347	24624
440	19390	24579
441	19431	24531
442	19477	24489
443	19524	24449
444	19569	24406
445	19610	24358
446	19658	24320
447	19702	24275
448	19751	24238
449	19798	24198
450	19840	24151
451	19878	24100
452	19921	24055
453	19961	24006
454	20008	23966
455	20055	23925
456	20094	23876
457	20141	23835
458	20184	23790
459	20230	23749
460	20279	23710
461	20324	23668
462	20366	23621
463	20410	23577
464	20458	23538
465	20499	23491
466	20540	23443
467	20583	23398
468	20630	23357
469	20679	23319
470	20725	23277
471	20763	23226
472	20808	23183
473	20851	23139
474	20901	23101
475	20946	23058
476	20991	23015
477	21037	22973
478	21084	22932
479	21129	22890
480	21185	22858
481	21232	22817
482	21278	22776
483	21323	22733
484	21368	22690
485	21413	22647
486	21450	22595
487	21497	22555
488	21543	22512
489	21586	22467
490	21633	22426
491	21678	22383
492	21720	22337
493	21766	22295
494	21813	22254
495	21851	22204
496	21899	22163
497	21942	22118
498	21975	22063
499	22016	22016
500	22062	21974
501	22102	21926
502	22133	21869
503	22183	21831
504	22228	21788
505	22270	21742
506	22316	21700
507	22362	21658
508	22388	21597
509	22437	21557
510	22483	21515
511	22529	21473
512	22575	21431
513	22619	21387
514	22663	21342
515	22702	21294
516	22742	21246
517	22787	21204
518	22829	21157
519	22867	21108
520	22910	21063
521	22953	21018
522	22991	20969
523	23029	20919
524	23075	20877
525	23118	20833
526	23176	20802
527	23217	20755
528	23258	20708
529	23294	20657
530	23339	20614
531	23374	20562
532	23417	20518
533	23479	20489
534	23528	20449
535	23566	20401
536	23613	20359
537	23656	20314
538	23704	20274
539	23752	20233
540	23796	20189
541	23836	20142
542	23880	20098
543	23924	20054
544	23966	20008
545	24009	19963
546	24053	19920
547	24097	19876
548	24143	19833
549	24186	19788
550	24230	19744
551	24277	19703
552	24311	19651
553	24364	19614
554	24417	19578
555	24462	19534
556	24508	19492
557	24552	19448
558	24597	19405
559	24643	19362
560	24691	19321
561	24732	19275
562	24779	19233
563	24826	19191
564	24870	19148
565	24917	19106
566	24961	19062
567	25002	19015
568	25046	18971
569	25087	18925
570	25123	18875
571	25174	18837
572	25222	18795
573	25266	18751
574	25314	18710
575	25363	18670
576	25402	18622
577	25436	18571
578	25481	18528
579	25524	18483
580	25568	18439
581	25615	18397
582	25662	18355
583	25704	18309
584	25749	18267
585	25794	18223
586	25840	18180
587	25884	18136
588	25929	18093
589	25970	18046
590	26018	18005
591	26060	17960
592	26107	17918
593	26157	17878
594	26199	17833
595	26242	17788
596	26281	17740
597	26327	17698
598	26372	17655
599	26418	17612
600	26465	17570
601	26512	17528
602	26558	17485
603	26600	17440
604	26644	17395
605	26689	17352
606	26732	17307
607	26778	17265
608	26823	17221
609	26837	17158
610	26880	17113
611	26925	17070
612	26970	17026
613	27009	16979
614	27058	16939
615	27107	16898
616	27159	16859
617	27198	16812
618	27245	16769
619	27284	16722
620	27331	16680
621	27376	16636
622	27420	16593
623	27459	16546
624	27505	16503
625	27550	16459
626	27593	16415
627	27640	16372
628	27688	16331
629	27731	16286
630	27776	16243
631	27819	16198
632	27865	16156
633	27908	16111
634	27953	16067
635	27999	16025
636	28044	15981
637	28089	15937
638	28143	15899
639	28189	15856
640	28231	15811
641	28275	15767
642	28326	15726
643	28369	15682
644	28412	15638
645	28454	15592
646	28498	15548
647	28544	15505
648	28590	15462
649	28636	15419
650	28678	15374
651	28728	15333
652	28765	15285
653	28809	15241
654	28856	15198
655	28890	15149
656	28935	15106
657	28980	15063
658	29021	15017
659	29064	14972
660	29111	14930
661	29160	14888
662	29206	14845
663	29251	14802
664	29299	14760
665	29343	14715
666	29390	14673
667	29436	14630
668	29482	14586
669	29518	14539
670	29564	14496
671	29605	14450
672	29650	14406
673	29700	14365
674	29745	14321
675	29789	14277
676	29833	14233
677	29873	14187
678	29921	14145
679	29968	14102
680	30012	14058
681	30060	14016
682	30118	13978
683	30160	13933
684	30201	13888
685	30246	13844
686	30290	13800
687	30339	13758
688	30379	13712
689	30421	13667
690	30461	13621
691	30503	13576
692	30550	13533
693	30596	13490
694	30641	13446
695	30686	13403
696	30724	13356
697	30773	13314
698	30818	13270
699	30864	13227
700	30915	13186
701	30956	13141
702	30995	13094
703	31037	13049
704	31080	13005
705	31129	12963
706	31174	12919
707	31220	12876
708	31267	12833
709	31311	12789
710	31351	12743
711	31397	12699
712	31439	12655
